Tree	Node A-form	Node B-form	Node C-form	Node D-form	Node E-form	Node F-form	Node G-form	Node H-form	Node I-form	Node J-form	Node K-form	Node L-form	Node M-form	Node N-form	Node O-form	Node P-form	Node Q-form	Node R-form	Node S-form	Node T-form	Node U-form	Node V-form	Node W-form	Node X-form	Node Y-form	Node Z-form	Node A1-form	Node B1-form	Node C1-form	Absolute frequency	Relative frequency	Order	Grew-match query	Grew-match URL	Number of nodes	Head node	MI	MI3	Dice	logDice	t-score	simple-LL
manj >fixed kot	manj	kot																												4	15.0	AB	"pattern {A [form=""manj""]; B [form=""kot""]; A -[fixed]-> B; A << B} without {A -> X0} without {B -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BA%20%5Bform%3D%22manj%22%5D%3B%20B%20%5Bform%3D%22kot%22%5D%3B%20A%20-%5Bfixed%5D-%3E%20B%3B%20A%20%3C%3C%20B%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BB%20-%3E%20X1%7D	2	manj	3.11	7.11	0.01	6.77	1.77	0.42
na <case bolje	na	bolje																												4	15.0	AB	"pattern {B [form=""bolje""]; A [form=""na""]; B -[case]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22bolje%22%5D%3B%20A%20%5Bform%3D%22na%22%5D%3B%20B%20-%5Bcase%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	bolje	3.06	7.06	0.00	5.34	1.76	0.33
od <case takrat	od	takrat																												4	15.0	AB	"pattern {B [form=""takrat""]; A [form=""od""]; B -[case]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22takrat%22%5D%3B%20A%20%5Bform%3D%22od%22%5D%3B%20B%20-%5Bcase%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	takrat	4.35	8.35	0.01	7.39	1.90	2.87
prav <advmod dobro	prav	dobro																												4	15.0	AB	"pattern {B [form=""dobro""]; A [form=""prav""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22dobro%22%5D%3B%20A%20%5Bform%3D%22prav%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	dobro	5.54	9.54	0.03	8.74	1.96	5.52
tako <advmod močno	tako	močno																												4	15.0	AB	"pattern {B [form=""močno""]; A [form=""tako""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22mo%C4%8Dno%22%5D%3B%20A%20%5Bform%3D%22tako%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	močno	5.05	9.05	0.01	7.54	1.94	4.41
tako >conj (ali <cc tako)	tako	ali	tako																											4	15.0	ABC	"pattern {A [form=""tako""]; C [form=""tako""]; B [form=""ali""]; A -[conj]-> C; C -[cc]-> B; A << C; C >> B} without {A -> X0} without {C -> X1} without {B -> X2}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BA%20%5Bform%3D%22tako%22%5D%3B%20C%20%5Bform%3D%22tako%22%5D%3B%20B%20%5Bform%3D%22ali%22%5D%3B%20A%20-%5Bconj%5D-%3E%20C%3B%20C%20-%5Bcc%5D-%3E%20B%3B%20A%20%3C%3C%20C%3B%20C%20%3E%3E%20B%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BC%20-%3E%20X1%7D%20without%20%7BB%20-%3E%20X2%7D	3	tako	9.73	13.73	0.01	6.55	2.00	15.43
za <case vedno	za	vedno																												4	15.0	AB	"pattern {B [form=""vedno""]; A [form=""za""]; B -[case]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22vedno%22%5D%3B%20A%20%5Bform%3D%22za%22%5D%3B%20B%20-%5Bcase%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	vedno	1.09	5.09	0.00	5.58	1.06	-1.62
zelo <advmod veliko	zelo	veliko																												4	15.0	AB	"pattern {B [form=""veliko""]; A [form=""zelo""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22veliko%22%5D%3B%20A%20%5Bform%3D%22zelo%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	veliko	4.32	8.32	0.02	8.15	1.90	2.81
čim <advmod več	čim	več																												4	15.0	AB	"pattern {B [form=""več""]; A [form=""čim""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22ve%C4%8D%22%5D%3B%20A%20%5Bform%3D%22%C4%8Dim%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	več	5.86	9.86	0.02	8.12	1.97	6.24
Še <advmod bolj	Še	bolj																												4	15.0	AB	"pattern {B [form=""bolj""]; A [form=""Še""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22bolj%22%5D%3B%20A%20%5Bform%3D%22%C5%A0e%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	bolj	6.06	10.06	0.03	8.69	1.97	6.72
še <advmod dodatno	še	dodatno																												4	15.0	AB	"pattern {B [form=""dodatno""]; A [form=""še""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22dodatno%22%5D%3B%20A%20%5Bform%3D%22%C5%A1e%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	dodatno	5.72	9.72	0.01	7.11	1.96	5.92
še <advmod malo	še	malo																												4	15.0	AB	"pattern {B [form=""malo""]; A [form=""še""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22malo%22%5D%3B%20A%20%5Bform%3D%22%C5%A1e%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	malo	3.64	7.64	0.01	7.01	1.84	1.40
še <advmod prej	še	prej																												4	15.0	AB	"pattern {B [form=""prej""]; A [form=""še""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22prej%22%5D%3B%20A%20%5Bform%3D%22%C5%A1e%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	prej	4.22	8.22	0.01	7.05	1.89	2.59
še <advmod zlasti	še	zlasti																												4	15.0	AB	"pattern {B [form=""zlasti""]; A [form=""še""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22zlasti%22%5D%3B%20A%20%5Bform%3D%22%C5%A1e%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	zlasti	4.34	8.34	0.01	7.06	1.90	2.85
že <advmod zdavnaj	že	zdavnaj																												4	15.0	AB	"pattern {B [form=""zdavnaj""]; A [form=""že""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22zdavnaj%22%5D%3B%20A%20%5Bform%3D%22%C5%BEe%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	zdavnaj	8.89	12.89	0.01	7.85	2.00	13.42
Do <case zdaj	Do	zdaj																												3	11.2	AB	"pattern {B [form=""zdaj""]; A [form=""Do""]; B -[case]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22zdaj%22%5D%3B%20A%20%5Bform%3D%22Do%22%5D%3B%20B%20-%5Bcase%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	zdaj	6.95	10.12	0.03	9.07	1.72	6.60
Tudi <advmod tu	Tudi	tu																												3	11.2	AB	"pattern {B [form=""tu""]; A [form=""Tudi""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22tu%22%5D%3B%20A%20%5Bform%3D%22Tudi%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	tu	7.07	10.24	0.04	9.18	1.72	6.82
kaj <advmod prida	kaj	prida																												3	11.2	AB	"pattern {B [form=""prida""]; A [form=""kaj""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22prida%22%5D%3B%20A%20%5Bform%3D%22kaj%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	prida	9.77	12.94	0.03	8.72	1.73	11.66
kar <advmod nekajkrat	kar	nekajkrat																												3	11.2	AB	"pattern {B [form=""nekajkrat""]; A [form=""kar""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22nekajkrat%22%5D%3B%20A%20%5Bform%3D%22kar%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	nekajkrat	7.39	10.56	0.01	7.78	1.72	7.38
kdaj >conj (pa <cc kdaj)	kdaj	pa	kdaj																											3	11.2	ABC	"pattern {A [form=""kdaj""]; C [form=""kdaj""]; B [form=""pa""]; A -[conj]-> C; C -[cc]-> B; A << C; C >> B} without {A -> X0} without {C -> X1} without {B -> X2}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BA%20%5Bform%3D%22kdaj%22%5D%3B%20C%20%5Bform%3D%22kdaj%22%5D%3B%20B%20%5Bform%3D%22pa%22%5D%3B%20A%20-%5Bconj%5D-%3E%20C%3B%20C%20-%5Bcc%5D-%3E%20B%3B%20A%20%3C%3C%20C%3B%20C%20%3E%3E%20B%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BC%20-%3E%20X1%7D%20without%20%7BB%20-%3E%20X2%7D	3	kdaj	15.96	19.13	0.00	6.15	1.73	22.83
kje >conj (in <cc kako)	kje	in	kako																											3	11.2	ABC	"pattern {A [form=""kje""]; C [form=""kako""]; B [form=""in""]; A -[conj]-> C; C -[cc]-> B; A << C; C >> B} without {A -> X0} without {C -> X1} without {B -> X2}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BA%20%5Bform%3D%22kje%22%5D%3B%20C%20%5Bform%3D%22kako%22%5D%3B%20B%20%5Bform%3D%22in%22%5D%3B%20A%20-%5Bconj%5D-%3E%20C%3B%20C%20-%5Bcc%5D-%3E%20B%3B%20A%20%3C%3C%20C%3B%20C%20%3E%3E%20B%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BC%20-%3E%20X1%7D%20without%20%7BB%20-%3E%20X2%7D	3	kje	12.44	15.61	0.00	4.58	1.73	16.46
kmalu <advmod zatem	kmalu	zatem																												3	11.2	AB	"pattern {B [form=""zatem""]; A [form=""kmalu""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22zatem%22%5D%3B%20A%20%5Bform%3D%22kmalu%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	zatem	10.46	13.63	0.11	10.86	1.73	12.89
malo <advmod bolj	malo	bolj																												3	11.2	AB	"pattern {B [form=""bolj""]; A [form=""malo""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22bolj%22%5D%3B%20A%20%5Bform%3D%22malo%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	bolj	5.08	8.25	0.02	8.15	1.68	3.36
najbolj <advmod pogosto	najbolj	pogosto																												3	11.2	AB	"pattern {B [form=""pogosto""]; A [form=""najbolj""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22pogosto%22%5D%3B%20A%20%5Bform%3D%22najbolj%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	pogosto	6.42	9.59	0.03	8.92	1.71	5.66
ne >fixed le	ne	le																												3	11.2	AB	"pattern {A [form=""ne""]; B [form=""le""]; A -[fixed]-> B; A << B} without {A -> X0} without {B -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BA%20%5Bform%3D%22ne%22%5D%3B%20B%20%5Bform%3D%22le%22%5D%3B%20A%20-%5Bfixed%5D-%3E%20B%3B%20A%20%3C%3C%20B%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BB%20-%3E%20X1%7D	2	ne	0.59	3.76	0.00	5.84	0.58	-0.95
nič <advmod manj	nič	manj																												3	11.2	AB	"pattern {B [form=""manj""]; A [form=""nič""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22manj%22%5D%3B%20A%20%5Bform%3D%22ni%C4%8D%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	manj	6.12	9.29	0.03	8.84	1.71	5.14
prej >conj (ali <cc slej)	prej	ali	slej																											3	11.2	ABC	"pattern {A [form=""prej""]; C [form=""slej""]; B [form=""ali""]; A -[conj]-> C; C -[cc]-> B; A << C; C >> B} without {A -> X0} without {C -> X1} without {B -> X2}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BA%20%5Bform%3D%22prej%22%5D%3B%20C%20%5Bform%3D%22slej%22%5D%3B%20B%20%5Bform%3D%22ali%22%5D%3B%20A%20-%5Bconj%5D-%3E%20C%3B%20C%20-%5Bcc%5D-%3E%20B%3B%20A%20%3C%3C%20C%3B%20C%20%3E%3E%20B%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BC%20-%3E%20X1%7D%20without%20%7BB%20-%3E%20X2%7D	3	prej	20.49	23.66	0.01	7.45	1.73	31.01
skoraj <advmod nikoli	skoraj	nikoli																												3	11.2	AB	"pattern {B [form=""nikoli""]; A [form=""skoraj""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22nikoli%22%5D%3B%20A%20%5Bform%3D%22skoraj%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	nikoli	7.15	10.32	0.04	9.29	1.72	6.95
tako >fixed imenovane	tako	imenovane																												3	11.2	AB	"pattern {A [form=""tako""]; B [form=""imenovane""]; A -[fixed]-> B; A << B} without {A -> X0} without {B -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BA%20%5Bform%3D%22tako%22%5D%3B%20B%20%5Bform%3D%22imenovane%22%5D%3B%20A%20-%5Bfixed%5D-%3E%20B%3B%20A%20%3C%3C%20B%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BB%20-%3E%20X1%7D	2	tako	7.93	11.10	0.01	7.21	1.72	8.35
tako >fixed imenovanih	tako	imenovanih																												3	11.2	AB	"pattern {A [form=""tako""]; B [form=""imenovanih""]; A -[fixed]-> B; A << B} without {A -> X0} without {B -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BA%20%5Bform%3D%22tako%22%5D%3B%20B%20%5Bform%3D%22imenovanih%22%5D%3B%20A%20-%5Bfixed%5D-%3E%20B%3B%20A%20%3C%3C%20B%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BB%20-%3E%20X1%7D	2	tako	7.67	10.84	0.01	7.21	1.72	7.88
tudi <advmod letos	tudi	letos																												3	11.2	AB	"pattern {B [form=""letos""]; A [form=""tudi""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22letos%22%5D%3B%20A%20%5Bform%3D%22tudi%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	letos	3.37	6.54	0.00	6.10	1.57	0.67
tudi <advmod uradno	tudi	uradno																												3	11.2	AB	"pattern {B [form=""uradno""]; A [form=""tudi""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22uradno%22%5D%3B%20A%20%5Bform%3D%22tudi%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	uradno	4.72	7.89	0.00	6.13	1.67	2.76
v <case živo	v	živo																												3	11.2	AB	"pattern {B [form=""živo""]; A [form=""v""]; B -[case]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22%C5%BEivo%22%5D%3B%20A%20%5Bform%3D%22v%22%5D%3B%20B%20-%5Bcase%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	živo	4.41	7.58	0.00	4.19	1.65	2.25
vse <advmod pogosteje	vse	pogosteje																												3	11.2	AB	"pattern {B [form=""pogosteje""]; A [form=""vse""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22pogosteje%22%5D%3B%20A%20%5Bform%3D%22vse%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	pogosteje	7.79	10.96	0.02	8.04	1.72	8.09
zelo <advmod hitro	zelo	hitro																												3	11.2	AB	"pattern {B [form=""hitro""]; A [form=""zelo""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22hitro%22%5D%3B%20A%20%5Bform%3D%22zelo%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	hitro	5.48	8.65	0.02	8.27	1.69	4.03
zelo <advmod visoko	zelo	visoko																												3	11.2	AB	"pattern {B [form=""visoko""]; A [form=""zelo""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22visoko%22%5D%3B%20A%20%5Bform%3D%22zelo%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	visoko	6.54	9.71	0.02	8.45	1.71	5.88
čim <advmod prej	čim	prej																												3	11.2	AB	"pattern {B [form=""prej""]; A [form=""čim""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22prej%22%5D%3B%20A%20%5Bform%3D%22%C4%8Dim%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	prej	8.23	11.40	0.06	9.87	1.73	8.89
Še >fixed posebno	Še	posebno																												3	11.2	AB	"pattern {A [form=""Še""]; B [form=""posebno""]; A -[fixed]-> B; A << B} without {A -> X0} without {B -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BA%20%5Bform%3D%22%C5%A0e%22%5D%3B%20B%20%5Bform%3D%22posebno%22%5D%3B%20A%20-%5Bfixed%5D-%3E%20B%3B%20A%20%3C%3C%20B%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BB%20-%3E%20X1%7D	2	Še	8.05	11.22	0.05	9.79	1.73	8.56
Šele <advmod potem	Šele	potem																												3	11.2	AB	"pattern {B [form=""potem""]; A [form=""Šele""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22potem%22%5D%3B%20A%20%5Bform%3D%22%C5%A0ele%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	potem	8.66	11.83	0.04	9.39	1.73	9.66
še <advmod zdaj	še	zdaj																												3	11.2	AB	"pattern {B [form=""zdaj""]; A [form=""še""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22zdaj%22%5D%3B%20A%20%5Bform%3D%22%C5%A1e%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	zdaj	2.68	5.85	0.01	6.54	1.46	-0.22
že <advmod doslej	že	doslej																												3	11.2	AB	"pattern {B [form=""doslej""]; A [form=""že""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22doslej%22%5D%3B%20A%20%5Bform%3D%22%C5%BEe%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	doslej	4.92	8.09	0.01	7.33	1.67	3.08
že <advmod večkrat	že	večkrat																												3	11.2	AB	"pattern {B [form=""večkrat""]; A [form=""že""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22ve%C4%8Dkrat%22%5D%3B%20A%20%5Bform%3D%22%C5%BEe%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	večkrat	5.22	8.39	0.01	7.35	1.69	3.60
(Dve <nummod leti) <nmod pozneje	Dve	leti	pozneje																											2	7.5	ABC	"pattern {C [form=""pozneje""]; B [form=""leti""]; A [form=""Dve""]; C -[nmod]-> B; B -[nummod]-> A; C >> B; B >> A} without {C -> X0} without {B -> X1} without {A -> X2}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BC%20%5Bform%3D%22pozneje%22%5D%3B%20B%20%5Bform%3D%22leti%22%5D%3B%20A%20%5Bform%3D%22Dve%22%5D%3B%20C%20-%5Bnmod%5D-%3E%20B%3B%20B%20-%5Bnummod%5D-%3E%20A%3B%20C%20%3E%3E%20B%3B%20B%20%3E%3E%20A%7D%20without%20%7BC%20-%3E%20X0%7D%20without%20%7BB%20-%3E%20X1%7D%20without%20%7BA%20-%3E%20X2%7D	3	pozneje	22.63	24.63	0.05	9.58	1.41	23.25
Do <case takrat	Do	takrat																												2	7.5	AB	"pattern {B [form=""takrat""]; A [form=""Do""]; B -[case]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22takrat%22%5D%3B%20A%20%5Bform%3D%22Do%22%5D%3B%20B%20-%5Bcase%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	takrat	7.23	9.23	0.03	9.07	1.40	4.74
